30.10.2024, 16:12
Статистика проекта

                    	Сегменты	 Слова	Символы (без пробелов)	Символы (с пробелами)	Количество файлов	
Всего:              	   66147	668095	               4052836	              4654974	              122	
Осталось:           	   25632	381996	               2133634	              2490787	               83	
Уникальные:         	   54088	584871	               3529683	              4060759	              122	
Осталось уникальных:	   22013	336937	               1878942	              2194414	               83	


Статистика по отдельным файлам:

Имя файла                                                               	Всего сегментов	Осталось сегментов	Уникальные сегменты	Осталось уникальных сегментов	Всего слов	Осталось слов	Уникальные слова	Осталось уникальных слов	Всего символов (без пробелов)	Осталось символов (без пробелов)	Уникальные символы (без пробелов)	Осталось уникальных символов (без пробелов)	Всего символов (с пробелами)	Осталось символов (с пробелами)	Уникальные символы (с пробелами)	Осталось уникальных символов (с пробелами)	
localisation/russian/giga_ai_savings_l_russian.yml                      	            140	                 0	                 96	                            0	       450	            0	             406	                       0	                         3807	                               0	                             2881	                                          0	                        4121	                              0	                            3195	                                         0	
localisation/russian/giga_alternate_mega_build_l_russian.yml            	            375	                 0	                326	                            0	      2680	            0	            2465	                       0	                        25300	                               0	                            23377	                                          0	                       27846	                              0	                           25680	                                         0	
localisation/russian/giga_asteroid_industry_l_russian.yml               	            175	               106	                156	                           96	      1373	         1003	            1327	                     978	                        13389	                            9019	                            12634	                                       8486	                       14564	                           9902	                           13799	                                      9359	
localisation/russian/giga_birch_l_russian.yml                           	           1325	               417	               1183	                          394	     13777	         6783	           13078	                    6505	                        84086	                           35492	                            79184	                                      34193	                       96816	                          41910	                           91283	                                     40352	
localisation/russian/giga_blokkatnew_l_russian.yml                      	           1001	               803	                932	                          771	     14662	        13442	           14300	                   13241	                        88011	                           80268	                            85239	                                      78596	                      101747	                          92976	                           98645	                                     91100	
localisation/russian/giga_colony_l_russian.yml                          	              4	                 3	                  4	                            3	       103	           67	             103	                      67	                          524	                             343	                              524	                                        343	                         626	                            410	                             626	                                       410	
localisation/russian/giga_compound_09_l_russian.yml                     	            120	                39	                 93	                           39	       805	          419	             768	                     419	                         4550	                            2216	                             4248	                                       2216	                        5241	                           2601	                            4929	                                      2601	
localisation/russian/giga_concepts_l_russian.yml                        	              7	                 6	                  7	                            6	        52	           37	              52	                      37	                          945	                             667	                              945	                                        667	                         980	                            694	                             980	                                       694	
localisation/russian/giga_debug_events_l_russian.yml                    	              4	                 0	                  4	                            0	        86	            0	              86	                       0	                         1292	                               0	                             1292	                                          0	                        1393	                              0	                            1393	                                         0	
localisation/russian/giga_eawaf_l_russian.yml                           	            889	               444	                807	                          400	     14948	         9190	           13995	                    8373	                        86591	                           53325	                            80973	                                      48665	                      100692	                          62084	                           94201	                                     56650	
localisation/russian/giga_ehof_functions_l_russian.yml                  	            379	                14	                 39	                            6	       179	           16	              93	                       8	                         2789	                             111	                              900	                                         55	                        2848	                            126	                             951	                                        62	
localisation/russian/giga_ehof_modifications_l_russian.yml              	             79	                58	                 69	                           50	       813	          672	             738	                     602	                         4600	                            3817	                             4203	                                       3449	                        5358	                           4452	                            4896	                                      4022	
localisation/russian/giga_extra_growth_l_russian.yml                    	             39	                 4	                 34	                            4	       203	           26	             193	                      26	                         2261	                             417	                             2128	                                        417	                        2450	                            438	                            2305	                                       438	
localisation/russian/giga_hypersiphon_l_russian.yml                     	            276	               210	                251	                          197	      2471	         2312	            2288	                    2146	                        17290	                           15076	                            16145	                                      14130	                       19547	                          17247	                           18232	                                     16145	
localisation/russian/giga_job_scaling_l_russian.yml                     	             13	                 3	                 13	                            3	       134	           52	             134	                      52	                          696	                             262	                              696	                                        262	                         818	                            312	                             818	                                       312	
localisation/russian/giga_katzen_names_l_russian.yml                    	            262	                 7	                256	                            7	       308	            8	             302	                       8	                         2077	                              53	                             2037	                                         53	                        2123	                             54	                            2083	                                        54	
localisation/russian/giga_l_russian.yml                                 	          19249	              7701	              15800	                         6832	    213003	       124666	          194318	                  115159	                      1348062	                          733542	                          1217342	                                     671296	                     1539667	                         850394	                         1393892	                                    779426	
localisation/russian/giga_maginot_l_russian.yml                         	            405	               152	                363	                          142	      4346	         2559	            4081	                    2428	                        31024	                           15807	                            29204	                                      14944	                       35101	                          18248	                           33057	                                     17263	
localisation/russian/giga_matrioshka_brain_l_russian.yml                	            194	                87	                173	                           83	      1440	          910	            1318	                     891	                        16697	                           11405	                            15660	                                      11156	                       17926	                          12213	                           16764	                                     11949	
localisation/russian/giga_mega_events_l_russian.yml                     	            321	               190	                264	                          174	      4201	         3217	            3863	                    3007	                        23588	                           17923	                            21642	                                      16709	                       27510	                          20977	                           25287	                                     19573	
localisation/russian/giga_mega_names_l_russian.yml                      	            307	                94	                221	                           85	      2700	         1450	            2381	                    1320	                        19469	                            8844	                            16654	                                       8125	                       21785	                          10221	                           18800	                                      9380	
localisation/russian/giga_menu_ui_l_russian.yml                         	             45	                 3	                 39	                            3	       370	           39	             362	                      39	                         3091	                             247	                             3005	                                        247	                        3424	                            282	                            3334	                                       282	
localisation/russian/giga_modifiers_l_russian.yml                       	            217	                51	                177	                           48	       775	          252	             659	                     222	                         9372	                            3041	                             8041	                                       2650	                       10138	                           3262	                            8677	                                      2851	
localisation/russian/giga_names_l_russian.yml                           	             55	                 2	                 37	                            2	        69	            2	              52	                       2	                          510	                              35	                              380	                                         35	                         547	                             38	                             402	                                        38	
